priority_rank,project_code,project_name,agency,state,physical_progress,expenditure_percent,cost_overrun_percent,time_overrun_percent,risk_score,risk_category,warnings,risk_explanation
11,618955,2L PS of Majhauli to Charout section from km. 0.00 to km. 63.655,NHAI,Bihar,99.8,171.7338513841671,74.13072427893258,243.94391244870044,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 618955 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
12,701228,Kochi - Koottanad - Bangalore - Mangalore Pipeline Phase-II,Gas Authority of India Limited [GAIL],Tamil Nadu,97.4,167.47169811320754,99.81101886792456,393.4026583268183,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 701228 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
13,617913,6-laning of km 9.900 to km 19/948 Aramgarh to Shamshabad Section of Hyderabad- Bangalore section of NH-44 Under NHO EPC basis in the state of Telangana,MoRTH,Telangana,92.62,169.6662546353523,69.6662546353523,308.0711354309165,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 617913 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
14,701408,Madhya Ganga canal Phase-II,Irrigation & Water Resources-UP,Uttar Pradesh,82.39,431.40090697389377,331.4009069738938,56.41868106078384,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 701408 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
15,701377,Upper Tunga Irrigation Project,Water Resources-KA,Karnataka,99.32,196.79027734496728,111.09573335410852,116.13526570048307,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 701377 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
16,618902,Maheshkunt-Saharsa-Purnea Pkg I km 0.00 to km. 90.00 of NH-107,NHAI,Bihar,90.07,170.01086890888232,86.99995471287964,237.80437756498017,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 618902 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
17,701410,Relining of Rajasthan feeder and Sirhind Feeder canal,Department of Water Resources-PB,Punjab,95.0,164.0314724615961,68.0191637872418,160.41486603284358,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 701410 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
18,602096,Subansiri Lower HE Project [2000 MW],National Hydroelectric Power Corporation Limited [NHPC],"Multi-States (Arunachal Pradesh, Assam)",97.98,420.790475599531,320.79047559953096,286.9681005316572,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 602096 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
19,605156,Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] - A wholly owned subsidiary of NHPC Ltd. acquired through NCLT,National Hydroelectric Power Corporation Limited [NHPC],Sikkim,97.56,183.11609417131166,90.20624753541,90.14741035856598,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 605156 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
20,602223,Comprehensive Scheme for Strengthening of Transmission and Distribution [T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim,Power Grid Corporation of India Limited [POWERGRID],"Multi-States (Arunachal Pradesh, Sikkim)",83.9,171.2410767243954,81.62991069362802,198.02956636005285,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 602223 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
21,612259,CONSTRUCTION OF 300 BEDDED HOSPITAL AT HARIDWAR,Employee's State Insurance Company [ESIC],Uttarakhand,90.5,332.32421875,232.32421875,64.11690821256047,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 612259 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
22,705489,Madurai-Tuticorin via Aruppukkottai 143.5 km,CAOC/SR SR mor,Tamil Nadu,14.0,58.39582328783067,151.46638844088275,166.84051724137942,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 705489 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
23,705366,Hajipur-Sagauli via Vaishali 148.3 km,CAO/Con/North/MHX ECR mor,Bihar,74.0,137.56119980648282,86.16856797290768,61.99659201557913,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 705366 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
24,602184,Rammam-III HEPP [3x40 MW],National Thermal Power Corporation [NTPC],West Bengal,57.86,122.35352862849535,100.33744138250444,194.0662650602412,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 602184 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
25,705635,Trivandrum- Kanyakumari,CAO/CN/ERS SR mor,"Multi-States (Kerala, Tamil Nadu)",59.0,227.5817039106145,154.32172486033556,50.97547817557655,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 705635 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
26,400116,Bargi Diversion Project Phase - III [km. 104 to km 154],Water Resources-MP,Madhya Pradesh,81.52,184.75857299759994,84.75857299759996,56.27361141128182,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 400116 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
27,602195,Vishnugad Pipalkoti Hydro Electric Project [444 MW],THDC India Limited,Uttarakhand,81.5,151.09225847397255,67.72772417008824,60.49631449631434,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 602195 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
28,618438,"4-Laning of NH-37 Section between Demow to End of Moran Bypass From Km. 534.800 to Km. 561.700 including Emergency Landing Facility ELF under SARDP-NE, Phase 'A' in the State of Assam on EPC mode",NHIDCL,Assam,100.0,176.47638561091372,76.47638561091374,133.45521023765997,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 618438 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
29,707050,Establishment of new GMC Porbandar,"Medical Education, Ministry of Health and Family Welfare",Gujarat,81.0,288.19692307692304,188.19692307692307,95.29243937232528,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 707050 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
30,606112,Tezpur University Projects,Tezpur University,Assam,97.98,173.1442326458916,73.14423264589159,110.19252548131372,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 606112 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
31,602593,Luhri Stage-I Hydro Electric Project [210 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,Himachal Pradesh,52.13,109.3910171438671,112.26877872039591,78.13990461049268,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 602593 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
32,604791,Numaligarh Refinery Expansion Project,Numaligarh Refinery Limited,Assam,87.0,165.0589519650655,92.96306162057256,63.480492813141765,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 604791 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
33,602185,Tapovan-Vishnugad HEP [4x130 MW],National Thermal Power Corporation [NTPC],Uttarakhand,76.07,262.854600402955,162.854600402955,250.1647923875436,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 602185 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
34,618291,"Construction of 2-lane with Paved shoulder of Kohima-Bypass Road connecting NH- 39 New NH-02, NH150New NH-02, NH7-61 New NH-29 and NH-39 New NH-02 from Design km 21.000 to km 32.268 [Design length11.268 km] in the state of Nagaland Under SARDP-NE on EPC Mode Package- 3",NHIDCL,Nagaland,39.54,80.27525805442602,78.2335314357213,73.81942544459659,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 618291 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
35,705401,Murkongselek-Pasighat 26.15 km,CAO/C-II/NFR NFR mor,"Multi-States (Arunachal Pradesh, Assam)",67.0,243.0367816091954,175.0818390804595,93.6597014925373,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 705401 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
36,705253,Kurnool Coach Midlife Rehabilitation Project,South Central Railway [SCR] - II,Andhra Pradesh,75.01,170.3854351687389,70.3854351687389,94.48187633262296,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 705253 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
37,400273,"Tarakeswar-Bishnupur with extension upto Dhaniakhali, Arambagh-Irphala, Irphala- Ghatal 11.2 km, Arambagh-Champadanga 23.3 km & Bishnupur-Uparsol 31.8 km and new material modification for Mynapur-Kamarpukur via Birsha 19 km",CAOC/ER ER mor,West Bengal,75.0,135.20941968040373,111.65443229604716,52.395853706239,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 400273 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
38,705368,Araria-Supaul 92 km,CAO/Con/North/MHX ECR mor,Bihar,40.0,133.38317757009347,79.77355763239856,81.6617071260769,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 705368 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
39,400301,Multi Product Pipeline from Irugur to Devangonthi,MinistryofPetroleumNaturalGas,Tamil Nadu,86.4,177.929203539823,145.56069321533923,227.2698003863488,100,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 400301 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
40,400105,Urmodi Irrigation Project,Department of water resources-MH - II,Maharashtra,76.22,122.84302415675204,48.00120525491124,104.40078843626824,90,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 400105 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
41,709839,Daman Upside Development Project,Oil and Natural Gas Corporation Limited [ONGC],Offshore,92.9,152.07230944814822,56.971774028148936,33.55500821018058,90,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 709839 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
42,400223,Tiruchchirappalli-Nagore-Karaikal with extension of Nagapattinam-Velankani- Tiruthiraipundi incl. new material modification of Karaikal - Peralam 23 km new line,CAOC/SR SR mor,"Multi-States (Puducherry, Tamil Nadu)",80.0,177.80364656381488,139.5224824684431,23.50593178447832,90,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 400223 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
43,701383,Waghur Project,Department of water resources-MH - II,Maharashtra,89.57,155.10061473668307,76.69630496982978,27.81119851920409,90,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 701383 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
44,701406,Rajiv Bhima Lift Irrigation Scheme,Irrigation and CAD-TG,Telangana,100.0,131.22396576319545,58.95749643366629,54.54963235294118,90,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 701406 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
45,400101,Gundlakamma project,Water Resources-AP,Andhra Pradesh,98.3,157.21295387634936,58.88528220225957,47.3373156617509,90,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 400101 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
46,618337,Widening to 2 -Lane with Paved shoulder of Imphal to Jiribam section of NH-37 from Design Chainage 33.000 km to 66.390 Km Existing Chainage from km 33.395 to km 67.496 on EPC Mode in Manipur PKG-3,NHIDCL,Manipur,86.33,127.14989293361884,27.14989293361884,223.0769230769231,90,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 618337 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
47,705735,Solapur-Osmanabad - New line via Tuljapur 84.44 km umbrella work PB23/2018- 19/NR,CAOC/CR CR mor,Maharashtra,22.0,132.9100914998011,89.78946205189393,27.40944017563112,90,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 705735 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
48,400111,Kelo Irrigation Project,Water Resources-CT,Chhattisgarh,73.0,134.82401026153877,49.77539839554756,57.058436986622574,90,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 400111 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
49,617379,Development of New Bijwasan Railway Terminal,Northern Railways,Delhi,80.0,126.7788709352099,26.7788709352099,97.30700039108308,90,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 617379 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
50,602582,Dhaulasidh Hydro Electric Project [66 MW],Satluj Jal Vidyut Nigam [SJVN] Thermal Limited,Himachal Pradesh,80.69,185.42669011730163,149.3173103478347,31.615197568388982,90,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 602582 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
51,705661,Katni - Grade separator / bypass 21.50 km,GM IRCON KATNI WCR mor,Madhya Pradesh,84.0,147.3926282051282,75.64987179487184,28.01134141572166,90,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 705661 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
52,618653,Loha-Waranga Section of NH-361 from km 187.800 to km 244.369,NHAI,Maharashtra,96.22,121.64180311953918,140.10502556468808,283.27496580027395,90,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 618653 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
53,618444,"Construction of Balance Work of the 4-Laning of the Section from Jorhat to Jhanji of NH-37 Old from Km 453.000 to Km 490.800, under SARDP- NE , under EPC Mode in the state of Assam Pkg-IV Structures & Toll Plaza",NHIDCL,Assam,94.73,142.84075839575644,42.84075839575643,367.5824175824176,90,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 618444 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
54,705588,Janghai - Pratapgarh - Amethi 87 km,CAO/C-II/NR NR mor,Uttar Pradesh,80.0,168.49307479224376,122.12167590027695,22.21715328467152,90,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 705588 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
55,603945,Integrated Anandpur Barrage Project,Water Resources-OR,Odisha,62.85,495.58224432569705,395.58224432569705,30.034982508745628,90,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 603945 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
56,705458,Miyagam-Karjan-Dabhoi-Samlaya 96.46 km- Gauge conversion with electrification,CAOCWR WR mor,Gujarat,34.0,168.68851781433415,129.12885426138735,48.278688524589946,90,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 705458 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
57,706811,NMDC Slurry Pipeline Project Phase-1,National Mineral Development Corporation Limited [NMDC],Chhattisgarh,95.8,125.52734778121774,67.68271069831444,115.95114656031888,90,CRITICAL,"['Predicted cost overrun is high.', 'Predicted completion is significantly later than planned.', 'Expenditure is high compared with physical progress.', 'Multiple risk indicators are simultaneously high.']","Project 706811 is classified as CRITICAL risk because the predicted total cost is significantly above the baseline, the projected completion date exceeds the planned schedule, and expenditure is high relative to the physical progress achieved."
